source_id,formal_name,lat,long,sit_prec,geo_src,lat_long_src_id,name_src,site_cat,hist_affl,state_affl,cultrl_affl_1,cultrl_affl_2,site_sgnf,mil_use,aaas,state_hiu,nga,dia,osm,coder1,coder1_date ,coder2,coder2_date ,apprv,apprv_date ,Notes1,Notes2,KHChanges,Hst 1,Hst 2,Religion,Language,Ethnicity,Governorate,FID_OLD,OBJECTID_OLD,PlyContain,PtContaine,PennContai,cat_code_old
AAASSYR01702,Ø§Ù„Ø³ÙƒØ§ÙƒØ§,32.6999999998,36.3666667005,,OSM_Points,567054481,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,9999,BAD SITE - REMOVED,,,,,,,1701,1702,0,0,0,1
AAASSYR01703,Ø®Ø±Ø¨Ø© Ø§Ù„Ù‚Ù†ÙŠ,32.6833333,36.3,,OSM_Points,567054483,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1702,1703,0,0,0,1
AAASSYR01704,Ø®Ø±Ø¨Ø© Ø§Ù„Ø¯ÙŠØ±,32.6666667,36.4,,OSM_Points,567054598,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1703,1704,0,0,0,1
AAASSYR01705,Ù‚ØµØ± Ø¶Ù‡Ø±,32.7499999997,36.6666667003,,OSM_Points,567054677,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,9999,BAD SITE - REMOVED,,,,,,,1704,1705,0,0,0,1
AAASSYR01706,Ø¯ÙŠØ± Ø§Ù„Ù„Ø¨Ù†,32.8,36.55,,OSM_Points,567054693,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1705,1706,0,0,0,1
AAASSYR01707,Ø§Ù„Ø¹Ø³Ù„ÙŠØ©,32.85,36.6833333,,OSM_Points,567054702,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1706,1707,0,0,0,1
AAASSYR01708,Ø®Ø±Ø¨Ø© Ø§Ù„Ø°Ø¦Ø¨,36.1666667,40.5833333,,OSM_Points,567058856,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1707,1708,0,0,0,1
AAASSYR01709,Ø®Ø±Ø¨Ø© Ù…ÙˆÙŠØ²Ø±,36.25,40.316666699,,OSM_Points,567058903,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1708,1709,0,0,0,1
AAASSYR01710,Ø¨Ø¬ÙŠØ±Ùƒ,37.2044444,42.128333299,,OSM_Points,567059447,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1709,1710,0,0,0,1
AAASSYR01711,Ø³ÙƒØ±ÙƒØ© Ù…ÙŠØ±Ùˆ,37.1416667,42.2361111,,OSM_Points,567059515,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1710,1711,0,0,0,1
